season,Name,player_id,team,POS,G,GPitched,IP_corrected,HR,K,BB,HBP,ER,FIP,ERA,FB,FB_PO,FO,flyHits,popOuts,popHits,IP_nonzero,x_FIPFB,x_FIPFBPO
2024,Arturo Lopez,445995,MEX,P,1,1,3.0,0,1,1,0,0,4.148720885834287,0.0,2,3,2.0,0.0,1.0,0.0,3.0,4.790696194476262,5.375135980173909
2024,Arturo Lopez,445995,,,1,1,3.0,0,1,1,0,0,4.148720885834287,0.0,2,3,,,,,,4.790696194476262,5.375135980173909
2024,Junior Guerra,448855,LAR,P,20,20,85.0,6,76,55,0,53,4.885975787795071,5.6117647058823525,65,95,42.0,23.0,30.0,0.0,85.0,4.704712171237338,5.339027952057003
2024,Junior Guerra,448855,,,20,20,85.0,6,76,55,0,53,4.885975787795071,5.6117647058823525,65,95,,,,,,4.704712171237338,5.339027952057003
2024,Zach Phillips,452061,MVA,P,31,31,24.333333333333332,0,12,7,1,5,3.8153875525009537,1.8493150684931507,22,28,20.0,2.0,5.0,1.0,24.333333333333332,4.686011601207194,5.226604921330109
2024,Zach Phillips,452061,,,31,31,24.333333333333332,0,12,7,1,5,3.8153875525009537,1.8493150684931507,22,28,,,,,,4.686011601207194,5.226604921330109
2024,David Huff,453307,YUC,P,6,6,8.0,2,5,2,0,5,6.565387552500954,5.625,9,10,5.0,4.0,1.0,0.0,8.0,4.398720885834287,4.848406420425482
2024,David Huff,453307,2 Teams,,22,22,28.333333333333332,6,20,9,0,31,6.109505199559777,9.847058823529412,35,42,,,,,,4.54610650674932,5.174544045286748
2024,David Huff,453307,SLT,P,16,16,20.333333333333332,4,15,7,0,26,5.930141650861609,11.508196721311476,26,32,16.0,10.0,6.0,0.0,20.333333333333332,4.604094292027366,5.302860487855114
2024,A.J. Griffin,456167,TIG,P,2,2,6.333333333333333,0,7,6,0,2,4.446966499869375,2.842105263157895,6,8,5.0,1.0,2.0,0.0,6.333333333333333,5.359247201623761,5.9961224085088975
2024,A.J. Griffin,456167,2 Teams,,8,8,19.0,4,14,13,0,15,7.131177026185164,7.105263157894737,28,33,,,,,,5.813438234762162,6.52442429530135
2024,A.J. Griffin,456167,TAB,P,6,6,12.666666666666666,4,7,7,0,13,8.473282289343059,9.23684210526316,22,25,15.0,7.0,3.0,0.0,12.666666666666666,6.040533751331363,6.788575238697577
2024,Al Alburquerque,456379,TAB,P,20,20,18.0,1,16,7,1,15,4.093165330278731,7.5,16,20,8.0,8.0,4.0,0.0,18.0,4.226910186245809,4.733626546211646
2024,Al Alburquerque,456379,,,20,20,18.0,1,16,7,1,15,4.093165330278731,7.5,16,20,,,,,,4.226910186245809,4.733626546211646
2024,Jair Jurrjens,457453,TAB,P,1,1,1.3333333333333333,1,0,4,0,4,22.565387552500955,27.0,3,3,2.0,1.0,0.0,0.0,1.3333333333333333,14.982054219167622,15.574821514765105
2024,Jair Jurrjens,457453,,,1,1,1.3333333333333333,1,0,4,0,4,22.565387552500955,27.0,3,3,,,,,,14.982054219167622,15.574821514765105
2024,Henry Sosa,464400,QRO,P,20,20,73.33333333333333,13,64,34,2,54,5.847205734319136,6.627272727272728,72,95,45.0,27.0,21.0,2.0,73.33333333333333,4.488114825228227,5.131425288350011
2024,Henry Sosa,464400,,,20,20,73.33333333333333,13,64,34,2,54,5.847205734319136,6.627272727272728,72,95,,,,,,4.488114825228227,5.131425288350011
2024,Alejandro Soto,465038,VER,P,15,15,52.333333333333336,6,42,14,7,26,4.904559527023247,4.471337579617835,49,69,37.0,12.0,20.0,0.0,52.333333333333336,4.315741409542709,5.0311068170124305
2024,Alejandro Soto,465038,,,15,15,52.333333333333336,6,42,14,7,26,4.904559527023247,4.471337579617835,49,69,,,,,,4.315741409542709,5.0311068170124305
2024,Wirfin Obispo,467031,TAB,P,9,9,10.0,0,15,4,2,2,2.6153875525009536,1.8,3,5,3.0,0.0,2.0,0.0,10.0,2.9042764413898428,3.228595099670765
2024,Wirfin Obispo,467031,,,9,9,10.0,0,15,4,2,2,2.6153875525009536,1.8,3,5,,,,,,2.9042764413898428,3.228595099670765
2024,Felix Doubront,467094,YUC,P,2,2,8.333333333333334,1,9,1,1,4,3.935387552500954,4.32,7,11,4.0,3.0,4.0,0.0,8.333333333333334,3.1842764413898426,3.9942554770292555
2024,Felix Doubront,467094,2 Teams,,19,19,113.66666666666666,8,85,39,7,49,4.448818637544942,3.8797653958944287,108,140,,,,,,4.448818637544942,5.044403211218378
2024,Felix Doubront,467094,CHI,P,17,17,105.33333333333333,7,76,38,6,45,4.489438185412347,3.8449367088607596,101,129,74.0,27.0,28.0,0.0,105.33333333333333,4.548861532810378,5.127484519302961
2024,Radhames Liz,467785,OAX,P,9,9,42.0,4,42,24,5,16,5.124911362024763,3.4285714285714284,36,41,21.0,15.0,5.0,0.0,42.0,4.71221294932635,5.0840308588801095
2024,Radhames Liz,467785,,,9,9,42.0,4,42,24,5,16,5.124911362024763,3.4285714285714284,36,41,,,,,,4.71221294932635,5.0840308588801095
2024,Jhoulys Chacín,468504,SLT,P,16,16,77.33333333333333,7,58,21,5,55,4.500732380087161,6.400862068965518,47,62,36.0,11.0,15.0,0.0,77.33333333333333,3.90925728430172,4.307254826411168
2024,Jhoulys Chacín,468504,,,16,16,77.33333333333333,7,58,21,5,55,4.500732380087161,6.400862068965518,47,62,,,,,,3.90925728430172,4.307254826411168
2024,Esmil Rogers,469134,VER,P,17,17,91.0,10,55,29,3,49,5.090112827226228,4.846153846153846,75,98,52.0,23.0,23.0,0.0,91.0,4.455192192305594,4.982296115635932
2024,Esmil Rogers,469134,,,17,17,91.0,10,55,29,3,49,5.090112827226228,4.846153846153846,75,98,,,,,,4.455192192305594,4.982296115635932
2024,Fernando Abad,472551,SLT,P,42,42,40.666666666666664,2,31,7,1,21,3.520305585287839,4.647540983606557,32,40,22.0,10.0,8.0,0.0,40.666666666666664,3.6387026708980392,4.087271251851402
2024,Fernando Abad,472551,,,42,42,40.666666666666664,2,31,7,1,21,3.520305585287839,4.647540983606557,32,40,,,,,,3.6387026708980392,4.087271251851402
2024,Jose Pina,473240,VER,P,36,36,63.666666666666664,8,57,24,4,20,4.97769121742242,2.8272251308900525,50,64,38.0,12.0,14.0,0.0,63.666666666666664,4.100436999854066,4.577019479795234
2024,Jose Pina,473240,,,36,36,63.666666666666664,8,57,24,4,20,4.97769121742242,2.8272251308900525,50,64,,,,,,4.100436999854066,4.577019479795234
2024,Robert Stock,476594,LAR,P,19,19,98.66666666666667,2,104,41,5,37,3.3694416065550077,3.375,62,69,40.0,22.0,6.0,1.0,98.66666666666667,3.711033198146599,3.9635900002317035
2024,Robert Stock,476594,,,19,19,98.66666666666667,2,104,41,5,37,3.3694416065550077,3.375,62,69,,,,,,3.711033198146599,3.9635900002317035
2024,Esteban Haro,477462,JAL,P,23,23,19.333333333333332,5,13,4,1,12,6.608491000776816,5.586206896551724,27,33,18.0,9.0,6.0,0.0,19.333333333333332,4.591249621466471,5.339785730770309
2024,Esteban Haro,477462,,,23,23,19.333333333333332,5,13,4,1,12,6.608491000776816,5.586206896551724,27,33,,,,,,4.591249621466471,5.339785730770309
2024,Fernando Salas,477569,TAB,P,33,33,33.0,2,33,9,1,5,3.5123572494706505,1.3636363636363638,26,42,22.0,4.0,16.0,0.0,33.0,3.4831765536232884,4.285370399842292
2024,Fernando Salas,477569,,,33,33,33.0,2,33,9,1,5,3.5123572494706505,1.3636363636363638,26,42,,,,,,3.4831765536232884,4.285370399842292
2024,Tomas Solis,477584,SLT,P,9,9,8.0,0,5,1,1,2,3.3153875525009537,2.25,7,12,5.0,2.0,5.0,0.0,8.0,4.157980145093546,5.155010194010387
2024,Tomas Solis,477584,,,9,9,8.0,0,5,1,1,2,3.3153875525009537,2.25,7,12,,,,,,4.157980145093546,5.155010194010387
2024,Brian Schlitter,489295,CHI,P,23,23,24.0,1,11,11,0,22,4.815387552500954,8.25,17,19,12.0,5.0,2.0,0.0,24.0,4.955819651266386,5.2446328355198215
2024,Brian Schlitter,489295,,,23,23,24.0,1,11,11,0,22,4.815387552500954,8.25,17,19,,,,,,4.955819651266386,5.2446328355198215
2024,César Valdez,491624,YUC,P,18,18,106.33333333333333,14,73,12,5,48,4.633569370682772,4.06269592476489,100,122,61.0,39.0,22.0,0.0,106.33333333333333,3.8275784267607937,4.329080105881211
2024,César Valdez,491624,,,18,18,106.33333333333333,14,73,12,5,48,4.633569370682772,4.06269592476489,100,122,,,,,,3.8275784267607937,4.329080105881211
2024,Neftalí Feliz,491703,DUR,P,23,23,26.0,1,29,8,1,4,3.1230798601932612,1.3846153846153846,22,34,17.0,5.0,12.0,0.0,26.0,3.437894675008076,4.226853445098922
2024,Neftalí Feliz,491703,2 Teams,,32,32,35.333333333333336,2,36,10,1,6,3.447463024199067,1.5283018867924527,29,44,,,,,,3.5019703617252724,4.238847858659729
2024,Neftalí Feliz,491703,YUC,P,9,9,9.333333333333334,1,7,2,0,2,4.351101838215239,1.9285714285714284,7,10,5.0,2.0,3.0,0.0,9.333333333333334,3.680466917580319,4.272260867864835
2024,Yunesky Maya,493337,CAM,P,15,15,74.33333333333333,10,49,31,6,37,5.739154368644452,4.479820627802691,100,123,60.0,40.0,23.0,0.0,74.33333333333333,5.285741314334537,6.019634950757998
2024,Yunesky Maya,493337,,,15,15,74.33333333333333,10,49,31,6,37,5.739154368644452,4.479820627802691,100,123,,,,,,5.285741314334537,6.019634950757998
2024,Jonathan Vargas,500279,LEO,P,23,23,23.666666666666668,4,16,4,0,18,5.167500228557292,6.845070422535211,15,20,10.0,5.0,5.0,0.0,23.666666666666668,3.5806457684633948,4.006724251942888
