season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,QS,IP_corrected,1B,BABIP
2024,560.0,Acereros del Norte,605891,Luis Rico,1,RP,3,0,3,2.0,6,0,0,1,1,4,0,2,0,0.333,6,0.545,0.833,1.3780000000000001,0,0,,0,43,18.0,2.0,0,1,0,0,1,0,4,3.0,12,6,3.0,0,0.0,17,0.3953488372093023,0.0,1,1,0.0,5,1.5,0.0,21.5,0.0,0.25,4.5,18.0,9.0,27.0,4.5,1.0,1.0,0.0,1.0,1,MVA,0,2.0,1,0.2
2024,560.0,Acereros del Norte,828702,Jeremy Cano,1,SP,1,1,0,0.0,3,0,0,0,0,2,0,1,0,1.0,1,1.0,1.0,2.0,0,2,100.0,0,17,inf,0.0,0,0,0,0,0,0,3,inf,3,0,1.0,0,0.0,7,0.4117647058823529,0.0,0,0,0.0,1,,,inf,0.0,0.0,,inf,inf,inf,,0.0,0.0,0.0,0.0,0,MVA,0,0.0,1,1.0
2024,562.0,Sultanes de Monterrey,669105,Zach Muckenhirn,1,RP,9,0,9,8.0,1,1,0,1,6,1,0,8,0,0.258,31,0.281,0.387,0.668,1,0,0.0,2,129,1.0384615384615385,8.2,1,0,0,1,3,1,1,1.0384615384615385,32,26,9.0,0,0.0,82,0.6356589147286822,0.0,0,0,1.0,12,1.13,1.0,14.884615384615385,1.0,6.0,6.230769230769231,1.0384615384615385,8.307692307692308,1.0384615384615385,1.0384615384615385,8.0,5.0,0.0,0.0,0,MTY,0,8.666666666666666,6,0.292
2024,562.0,Sultanes de Monterrey,527054,Julio Teheran,1,SP,3,3,23,9.0,5,4,0,2,12,3,0,15,0,0.259,58,0.295,0.431,0.726,0,1,100.0,1,231,2.3478260869565215,15.1,1,1,0,0,0,0,4,1.1739130434782608,62,46,3.0,0,0.0,149,0.645021645021645,0.0,0,0,0.0,25,2.56,0.5,15.065217391304348,0.0,4.0,7.0434782608695645,1.7608695652173911,8.804347826086957,2.934782608695652,1.1739130434782608,0.0,0.0,0.0,1.0,0,MTY,0,15.333333333333334,9,0.295
2024,562.0,Sultanes de Monterrey,686734,Arturo Roque,1,"SP, RP",16,4,31,34.0,11,1,1,4,28,19,1,22,1,0.196,112,0.316,0.33,0.646,0,2,100.0,5,523,2.4299999999999997,33.1,3,2,0,0,0,0,9,1.23,135,100,16.0,0,0.0,305,0.5831739961759083,1.0,0,0,0.0,37,0.91,0.6,15.69,6.0,1.4736842105263157,7.56,5.13,5.9399999999999995,2.9699999999999998,1.0799999999999998,1.0,0.0,0.0,2.0,1,MTY,0,33.333333333333336,16,0.222
2024,562.0,Sultanes de Monterrey,680653,Denny Roman,1,RP,33,0,39,23.0,9,4,0,2,28,16,0,28,2,0.239,117,0.338,0.325,0.663,0,5,100.0,6,534,2.479591836734694,32.2,2,0,0,1,4,1,9,1.3469387755102042,136,98,33.0,0,0.0,320,0.599250936329588,2.0,0,2,2.0,38,1.7,1.0,16.346938775510207,1.0,1.75,7.714285714285714,4.408163265306123,7.714285714285714,2.479591836734694,0.5510204081632654,24.0,6.0,0.0,0.0,1,MTY,0,32.666666666666664,22,0.295
2024,562.0,Sultanes de Monterrey,802392,Carlos Medina,X,X,2,0,0,7.0,1,1,0,0,2,0,0,5,0,0.385,13,0.357,0.462,0.819,0,0,,0,57,3.0,3.0,0,0,0,0,0,0,1,1.6666666666666667,14,9,2.0,0,0.0,35,0.6140350877192983,0.0,0,0,0.0,6,0.0,,19.0,1.0,inf,6.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,1,MTY,0,3.0,4,0.417
2024,562.0,Sultanes de Monterrey,627893,Carlos Belen,1,RP,46,0,47,32.0,15,7,1,2,29,14,2,43,1,0.291,148,0.354,0.392,0.746,1,0,0.0,7,638,3.28695652173913,38.1,1,4,0,2,9,2,14,1.4869565217391303,166,115,46.0,0,0.0,421,0.6598746081504702,1.0,0,6,0.0,58,1.47,0.2,16.643478260869564,11.0,2.0714285714285716,6.808695652173912,3.28695652173913,10.095652173913043,3.5217391304347823,0.4695652173913043,28.0,13.0,0.0,2.0,1,MTY,0,38.333333333333336,33,0.347
2024,562.0,Sultanes de Monterrey,643588,Tyler Viza,1,SP,16,16,92,67.0,30,24,2,8,62,20,0,82,4,0.272,301,0.325,0.445,0.77,3,4,57.1,12,1259,3.3037974683544302,79.0,7,2,0,0,0,0,29,1.2911392405063291,327,237,16.0,1,1.0,844,0.670373312152502,4.0,0,3,0.0,134,1.37,0.778,15.936708860759493,0.0,3.1,7.063291139240507,2.278481012658228,9.341772151898734,3.4177215189873418,0.9113924050632911,0.0,0.0,0.0,1.0,1,MTY,4,79.0,48,0.319
2024,562.0,Sultanes de Monterrey,504083,Jorge Rondon,1,RP,41,0,46,44.0,16,12,0,1,22,18,3,41,4,0.273,150,0.364,0.373,0.737,2,1,33.3,5,660,3.3471074380165287,40.1,2,1,5,7,10,2,15,1.462809917355372,175,121,41.0,0,0.0,387,0.5863636363636363,4.0,1,6,0.0,56,1.05,0.667,16.363636363636363,16.0,1.2222222222222223,4.909090909090909,4.016528925619834,9.148760330578511,3.570247933884297,0.22314049586776857,9.0,3.0,0.0,2.0,1,MTY,0,40.333333333333336,28,0.312
