season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,ER,G,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%,IP,IP_corrected,1B
2024,442.0,Olmecas de Tabasco,621348,Sam Clay,1,,7.941176470588235,49,0.25,0.333,0.308,0.641,8.735294117647058,3.9705882352941173,0.7941176470588235,6.352941176470588,2.2,20.0,3.0,8.0,7.0,2.0,3.0,0.0,1.0,1,0,1.0,9.0,2.0,0.0,1.0,85,28,30,4.0,64.2,16.76,3.878,10.2,22.4,0.02,0.455,0.103,6,1,3,12,1,0,4,3,TAB,122,34,64,36,RP,1,11,5,190,0.205,3,1,8,39,10,9,16,14.3,14.7,32.9,23.3,50.0,23.3,3.3,12.2,33.7,18.9,69.4,11.1,11.333333333333334,6
2024,442.0,Olmecas de Tabasco,629500,Williams Ramirez,1,0.0,8.526315789473685,32,0.375,0.375,0.36,0.735,14.210526315789474,8.526315789473685,0.0,8.526315789473685,1.6666666666666667,6.0,2.0,5.0,4.0,0.0,0.0,0.0,1.0,3,0,0.0,6.0,0.0,0.0,0.0,68,23,16,0.0,57.9,22.89,4.531,18.8,31.2,0.0,0.6,0.12,5,2,1,2,3,0,1,2,TAB,84,17,39,16,RP,0,10,6,145,0.24,0,1,6,25,6,5,8,0.0,15.9,33.8,50.0,25.0,12.5,12.5,12.5,26.9,11.0,53.1,6.1,6.333333333333333,3
2024,442.0,Olmecas de Tabasco,643518,Jose Samayoa,1,0.5,5.294117647058823,72,0.28,0.278,0.485,0.763,8.470588235294118,1.588235294117647,1.588235294117647,9.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7,0,0.0,10.0,2.0,1.0,0.0,148,27,53,12.0,68.4,16.59,3.917,4.2,22.2,0.042,0.188,0.235,11,8,2,15,7,0,5,5,TAB,193,46,71,44,"SP, RP",3,16,3,282,0.25,0,1,17,68,10,9,5,16.7,9.6,18.2,34.0,37.7,13.2,15.1,18.1,25.2,15.6,63.9,17.0,17.0,7
2024,442.0,Olmecas de Tabasco,679001,Braulio Torres-Perez,1,0.429,4.835820895522388,282,0.31,0.315,0.432,0.747,6.850746268656716,2.1492537313432836,0.9402985074626866,9.402985074626866,3.1875,0.0,0.0,3.0,0.0,4.0,2.0,5.0,0.0,21,0,4.0,31.0,3.0,2.0,0.0,479,88,213,40.0,62.8,15.97,3.794,5.7,18.1,0.025,0.314,0.162,39,14,12,78,16,0,27,27,TAB,672,168,279,191,SP,7,51,16,1070,0.27,2,2,70,259,36,36,13,12.7,8.2,18.4,25.8,49.3,18.3,6.6,12.4,26.1,17.9,59.6,67.0,67.0,42
2024,447.0,Algodoneros Union Laguna,651002,Steven Fuentes,1,0.571,4.841379310344827,217,0.32,0.378,0.429,0.8069999999999999,3.7241379310344827,3.7241379310344827,0.37241379310344824,10.427586206896551,1.0,1.0,0.0,13.0,9.0,3.0,3.0,1.0,0.0,18,1,7.0,33.0,1.0,0.0,0.0,368,65,171,26.0,60.8,17.05,3.797,9.2,9.2,0.009,1.0,0.136,36,11,7,61,13,0,23,20,LAG,501,121,195,130,"SP, RP",2,20,20,824,0.293,6,0,56,191,26,25,14,4.1,7.9,17.7,28.7,47.4,17.5,6.4,0.0,23.7,15.8,55.8,48.1,48.333333333333336,35
2024,447.0,Algodoneros Union Laguna,660875,Jesús Reyes,1,1.0,3.446808510638298,76,0.382,0.421,0.429,0.85,5.74468085106383,5.170212765957447,0.0,12.063829787234043,1.1111111111111112,17.0,7.0,9.0,2.0,1.0,1.0,0.0,1.0,6,0,1.0,18.0,0.0,0.0,0.0,142,29,55,11.0,60.9,18.13,3.737,11.8,13.2,0.0,0.9,0.095,8,3,5,18,6,0,8,7,LAG,173,42,59,30,RP,0,10,9,284,0.333,2,2,21,63,6,6,19,0.0,10.2,20.4,25.5,45.5,23.6,5.5,1.3,20.8,10.6,55.3,15.2,15.666666666666666,15
2024,447.0,Algodoneros Union Laguna,671790,Ronald Bolaños,1,0.333,7.714285714285714,78,0.298,0.397,0.385,0.782,3.857142857142857,6.612244897959184,0.5510204081632654,9.918367346938776,0.5833333333333334,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,4,0,2.0,19.0,3.0,0.0,0.0,116,23,58,22.0,55.8,18.98,3.974,15.4,9.0,0.013,1.714,0.108,15,1,2,22,6,0,8,4,LAG,173,30,79,56,SP,1,7,12,310,0.277,1,0,18,65,14,13,5,4.8,7.4,19.8,36.2,44.8,17.2,1.7,-6.4,25.5,18.1,38.5,16.1,16.333333333333332,13
2024,447.0,Algodoneros Union Laguna,682845,Rito Lugo,1,,10.914893617021278,84,0.41,0.446,0.622,1.068,5.74468085106383,4.595744680851064,1.723404255319149,16.085106382978726,1.25,4.0,2.0,6.0,2.0,3.0,0.0,0.0,1.0,7,1,1.0,10.0,1.0,0.0,0.0,144,26,65,6.0,60.8,20.36,3.798,9.5,11.9,0.036,0.8,0.243,10,7,1,19,9,0,12,7,LAG,194,50,75,49,"SP, RP",3,10,8,319,0.378,1,0,28,74,19,15,8,15.8,8.2,18.1,29.2,40.0,20.0,10.8,2.4,23.5,15.4,59.5,15.2,15.666666666666666,17
2024,447.0,Algodoneros Union Laguna,688548,Nico Tellache,1,0.0,10.875,117,0.341,0.35,0.459,0.8089999999999999,7.5,2.25,1.5,12.375,3.3333333333333335,0.0,0.0,9.0,6.0,2.0,0.0,0.0,0.0,5,0,0.0,22.0,0.0,1.0,0.0,223,71,89,9.0,65.5,17.88,3.667,5.1,17.1,0.034,0.3,0.156,14,2,5,35,9,0,10,14,LAG,281,75,129,58,SP,4,20,6,429,0.303,2,0,33,109,29,25,6,17.4,16.6,31.8,25.8,55.1,16.9,2.2,12.0,30.1,13.5,64.1,24.0,24.0,24
2024,575.0,Dorados de Chihuahua,467094,Felix Doubront,1,0.231,4.528481012658228,452,0.297,0.327,0.38,0.7070000000000001,6.493670886075949,3.2468354430379747,0.5981012658227849,8.629746835443038,2.0,0.0,0.0,8.0,3.0,9.0,2.0,12.0,0.0,20,4,14.0,76.0,0.0,0.0,0.0,837,176,332,48.0,63.8,15.85,3.695,8.4,16.8,0.015,0.5,0.124,74,28,14,115,27,0,31,43,CHI,1065,265,398,222,SP,7,76,38,1670,0.256,6,4,101,395,53,45,17,6.9,10.5,21.0,30.4,47.6,13.6,8.4,8.4,23.8,13.3,58.6,105.1,105.33333333333333,70
