season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B
2024,579.0,Guerreros de Oaxaca,660630,Romer Cuadrado,LF,20,12,5,2,0,2,20,9,0,13,0,0.232,56,0.338,0.375,0.713,0,0,,2,266,65,21,8,28,0,0,0.324,1.09,28.0,OAX,
2024,579.0,Guerreros de Oaxaca,701722,Sebastian Garcia,X,28,6,9,0,0,0,4,4,0,5,1,0.227,22,0.37,0.227,0.597,0,2,100.0,1,115,27,5,3,17,0,0,0.278,0.86,,OAX,
2024,579.0,Guerreros de Oaxaca,542513,Tomás Telis,C,14,25,6,3,0,0,3,7,0,10,0,0.227,44,0.333,0.295,0.628,0,1,100.0,1,182,51,13,5,23,0,0,0.244,4.17,,OAX,
2024,579.0,Guerreros de Oaxaca,622758,Angel Aguilar,3B,14,10,4,3,0,1,11,0,0,9,2,0.22,41,0.256,0.366,0.622,0,0,,1,149,43,15,2,24,0,0,0.276,0.91,41.0,OAX,
2024,579.0,Guerreros de Oaxaca,692270,Antonio Castaneda,LF,7,2,1,1,0,0,1,2,0,1,0,0.2,5,0.429,0.4,0.829,0,0,,0,28,7,2,1,2,0,0,0.25,2.0,,OAX,
2024,579.0,Guerreros de Oaxaca,685736,Cristian Mejia,C,8,1,2,1,0,0,5,3,0,2,1,0.2,10,0.429,0.3,0.729,0,0,,0,60,14,3,0,5,0,0,0.4,0.5,,OAX,
2024,579.0,Guerreros de Oaxaca,699136,Heber Villalobos,C,3,0,0,0,0,0,2,2,0,1,0,0.2,5,0.429,0.2,0.629,0,0,,0,25,7,1,0,6,0,0,0.333,0.0,,OAX,
2024,579.0,Guerreros de Oaxaca,500208,Yangervis Solarte,1B,4,4,1,0,0,0,2,1,0,2,0,0.182,11,0.231,0.182,0.413,0,0,,0,48,13,2,1,6,0,1,0.2,1.0,,OAX,
2024,579.0,Guerreros de Oaxaca,605504,Dillon Thomas,CF,2,1,2,0,0,0,5,1,0,1,0,0.143,7,0.25,0.143,0.393,0,0,,1,35,8,1,0,3,0,0,0.5,1.0,,OAX,
2024,579.0,Guerreros de Oaxaca,827369,Carlos Garcia,X,1,1,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,,0,3,1,0,0,0,0,0,0.0,1.0,,OAX,
2024,4444.0,Caliente de Durango,656695,J.J. Matijevic,LF,38,37,25,10,2,1,28,16,0,48,0,0.361,133,0.427,0.489,0.916,2,1,33.3,2,601,150,65,18,48,0,1,0.448,1.76,133.0,DUR,
2024,4444.0,Caliente de Durango,607752,Sam Travis,1B,57,58,49,11,3,4,28,31,0,79,3,0.348,227,0.431,0.476,0.907,5,3,37.5,4,965,262,108,37,88,0,1,0.383,0.92,56.75,DUR,
2024,4444.0,Caliente de Durango,802888,Victor Marquez,SS,17,12,5,0,0,0,8,6,0,13,0,0.342,38,0.432,0.342,0.774,2,2,50.0,0,184,47,13,2,9,3,0,0.433,1.5,,DUR,
2024,4444.0,Caliente de Durango,598724,Manuel Boscan,2B,92,97,46,23,1,10,46,38,1,110,10,0.327,336,0.409,0.491,0.9,5,9,64.3,8,1449,387,165,66,154,1,2,0.355,1.13,33.6,DUR,
2024,4444.0,Caliente de Durango,672906,Lazaro Alonso,1B,38,32,19,10,1,5,37,22,0,38,3,0.302,126,0.417,0.516,0.933,0,0,,5,615,151,65,22,51,0,0,0.393,1.68,25.2,DUR,
2024,4444.0,Caliente de Durango,663445,James Nelson,3B,85,70,60,12,4,9,64,60,1,86,5,0.297,290,0.425,0.459,0.884,5,11,68.8,2,1496,355,133,55,153,0,0,0.355,1.0,32.22,DUR,
2024,4444.0,Caliente de Durango,642488,Ademar Rifaela,DH,29,27,11,8,0,2,34,6,0,31,1,0.29,107,0.33,0.421,0.751,0,2,100.0,4,455,115,45,21,52,0,1,0.403,1.69,53.5,DUR,
2024,4444.0,Caliente de Durango,674671,Robbie Glendinning,SS,19,15,11,3,0,3,28,11,0,21,0,0.288,73,0.381,0.452,0.833,1,0,0.0,0,359,85,33,11,25,1,0,0.429,1.5,24.33,DUR,
2024,4444.0,Caliente de Durango,628366,Ariel Sandoval,CF,42,36,22,3,1,3,27,18,1,41,1,0.285,144,0.361,0.382,0.743,3,3,50.0,6,643,167,55,24,74,1,3,0.325,0.82,48.0,DUR,
2024,4444.0,Caliente de Durango,608380,Drew Ward,1B,25,14,11,3,0,3,37,7,0,23,0,0.284,81,0.337,0.432,0.769,1,0,0.0,3,346,89,35,10,52,0,1,0.476,1.75,27.0,DUR,
2024,4444.0,Caliente de Durango,682841,Michael Robles,2B,46,42,27,9,0,4,32,18,1,46,3,0.28,164,0.36,0.409,0.769,3,3,50.0,3,770,191,67,18,64,5,1,0.326,0.84,41.0,DUR,
2024,4444.0,Caliente de Durango,657705,Manny Olloque,CF,30,11,13,5,2,2,24,13,0,22,1,0.275,80,0.383,0.463,0.846,1,1,50.0,0,365,94,37,6,38,0,0,0.37,0.48,40.0,DUR,
2024,4444.0,Caliente de Durango,673882,Freddvil Chevez,LF,7,5,3,1,0,0,10,1,0,6,0,0.273,22,0.304,0.318,0.622,0,0,,0,83,23,7,1,13,0,0,0.5,5.0,,DUR,
2024,4444.0,Caliente de Durango,594906,Alfredo Lopez,LF,46,66,28,9,2,0,21,18,0,49,2,0.268,183,0.333,0.339,0.672,5,14,73.7,6,801,207,62,11,69,0,4,0.295,1.29,,DUR,
2024,4444.0,Caliente de Durango,604996,Carlos Garzon,C,60,46,22,5,0,1,42,20,0,41,1,0.261,157,0.348,0.312,0.66,0,1,100.0,4,711,179,49,18,62,1,0,0.351,1.59,157.0,DUR,
2024,4444.0,Caliente de Durango,660842,Juan Uriarte,DH,41,31,16,6,1,7,38,8,0,32,3,0.25,128,0.305,0.477,0.782,2,1,33.3,2,506,141,61,21,63,0,2,0.294,1.07,18.29,DUR,
2024,4444.0,Caliente de Durango,477453,Santiago Gonzalez,X,43,18,4,2,0,0,13,3,0,14,1,0.246,57,0.295,0.281,0.576,1,0,0.0,1,212,61,16,6,24,0,0,0.318,1.5,,DUR,
2024,4444.0,Caliente de Durango,641323,Luis Aviles Jr.,SS,37,40,18,5,2,3,33,13,1,36,0,0.243,148,0.299,0.365,0.664,2,4,66.7,5,614,164,54,23,71,0,3,0.287,0.95,49.33,DUR,
2024,4444.0,Caliente de Durango,554031,Jose Manuel Orozco,RF,80,51,31,6,3,7,80,30,2,57,3,0.238,240,0.327,0.375,0.702,1,2,66.7,6,1076,275,90,36,126,0,2,0.323,0.94,34.29,DUR,
2024,4444.0,Caliente de Durango,594021,Alberth Martinez,RF,32,18,11,5,0,2,31,16,0,24,2,0.216,111,0.321,0.315,0.636,1,0,0.0,2,554,131,35,11,52,0,2,0.275,0.45,55.5,DUR,
2024,4444.0,Caliente de Durango,641104,Carlos Mendivil,C,26,31,7,4,0,1,10,2,0,13,0,0.21,62,0.227,0.323,0.55,1,0,0.0,1,228,67,20,8,36,1,2,0.226,2.82,62.0,DUR,
2024,4444.0,Caliente de Durango,650909,Juan Rodriguez,3B,50,30,13,3,1,1,35,10,0,20,3,0.198,101,0.287,0.277,0.564,0,2,100.0,2,466,115,28,10,55,0,1,0.288,1.76,101.0,DUR,
2024,4444.0,Caliente de Durango,677593,Luis García,SS,6,2,0,0,0,0,7,2,0,2,0,0.143,14,0.25,0.143,0.393,0,1,100.0,0,69,16,2,0,6,0,0,0.286,0.67,,DUR,
2024,4444.0,Caliente de Durango,703060,Alejandro Urias,C,23,9,6,2,1,0,7,1,0,4,1,0.143,28,0.2,0.286,0.486,0,0,,4,119,31,8,0,18,1,0,0.19,1.0,,DUR,
2024,4444.0,Caliente de Durango,642299,Alejandro Flores,C,15,11,4,0,0,0,12,4,0,6,0,0.136,44,0.204,0.136,0.34,0,0,,1,206,49,6,4,29,0,1,0.182,0.69,,DUR,
